               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,           0.0078471,           0.0046551,            0.010351,             0.79204,             0.80892,             0.85915,             0.85241,           0.0022684,           0.0059729,           0.0046425,            0.006634,            0.006634,            0.006634
                  36,           0.0083033,           0.0045852,           0.0094539,             0.73507,              0.8621,             0.85644,             0.84977,           0.0023756,           0.0051891,           0.0046927,            0.006535,            0.006535,            0.006535
                  37,           0.0082881,           0.0043621,           0.0099141,             0.76868,             0.77926,             0.83122,              0.8307,           0.0021409,           0.0041272,           0.0049049,            0.006436,            0.006436,            0.006436
                  38,           0.0072894,            0.004278,            0.010232,             0.71606,             0.82846,             0.82364,             0.82245,           0.0023098,           0.0038491,           0.0049616,            0.006337,            0.006337,            0.006337
                  39,           0.0075765,           0.0043188,           0.0091918,             0.75857,             0.83134,              0.8547,             0.85427,           0.0022058,           0.0038715,            0.004454,            0.006238,            0.006238,            0.006238
                  40,           0.0077447,           0.0042006,           0.0098719,             0.72098,             0.83603,             0.83993,             0.83852,           0.0018625,           0.0049823,           0.0049227,            0.006139,            0.006139,            0.006139
                  41,           0.0082669,           0.0042964,           0.0098982,             0.74448,             0.83197,             0.84062,              0.8356,           0.0018835,           0.0061345,           0.0049036,             0.00604,             0.00604,             0.00604
                  42,           0.0074346,           0.0042057,            0.010376,             0.74557,              0.7794,             0.81611,             0.81424,           0.0025842,           0.0059715,           0.0053057,            0.005941,            0.005941,            0.005941
                  43,            0.007432,           0.0041669,           0.0094142,              0.7302,             0.83138,             0.82276,              0.8206,           0.0017475,           0.0045424,           0.0051829,            0.005842,            0.005842,            0.005842
                  44,           0.0073365,           0.0040576,           0.0099162,             0.82033,             0.80866,             0.86265,             0.86172,           0.0021499,           0.0062149,           0.0045346,            0.005743,            0.005743,            0.005743
                  45,           0.0065448,           0.0040802,            0.009755,             0.76937,             0.81105,             0.85046,             0.84415,           0.0020759,           0.0047354,           0.0045935,            0.005644,            0.005644,            0.005644
                  46,           0.0076251,           0.0042056,           0.0089698,             0.70908,             0.85845,             0.81794,             0.81606,           0.0020052,           0.0035547,           0.0051113,            0.005545,            0.005545,            0.005545
