               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,           0.0063534,           0.0041166,            0.011035,             0.76461,             0.78038,             0.84755,             0.82691,           0.0023847,           0.0037105,           0.0050102,            0.006634,            0.006634,            0.006634
                  36,           0.0063469,           0.0040495,            0.010021,             0.71664,              0.8149,             0.82702,             0.82021,           0.0019053,           0.0045443,           0.0050519,            0.006535,            0.006535,            0.006535
                  37,           0.0067028,           0.0038533,            0.010696,             0.76029,             0.82231,             0.85181,             0.85057,           0.0016834,           0.0020676,            0.004616,            0.006436,            0.006436,            0.006436
                  38,           0.0060161,           0.0037731,            0.010733,             0.73968,             0.84114,             0.83064,             0.82231,            0.001709,           0.0021678,           0.0046218,            0.006337,            0.006337,            0.006337
                  39,           0.0059191,           0.0037676,           0.0099726,             0.74852,              0.8221,             0.84784,             0.84676,           0.0018285,           0.0033919,           0.0046219,            0.006238,            0.006238,            0.006238
                  40,           0.0062344,           0.0036933,            0.010856,             0.68905,             0.83484,             0.85229,             0.85225,           0.0019167,           0.0038476,           0.0048208,            0.006139,            0.006139,            0.006139
                  41,           0.0067128,           0.0038242,             0.01145,             0.77341,             0.79412,             0.84458,             0.84193,           0.0019332,           0.0036538,           0.0047734,             0.00604,             0.00604,             0.00604
                  42,             0.00637,            0.003741,             0.01099,             0.68143,             0.84239,             0.83522,             0.82965,           0.0019083,            0.002662,            0.004833,            0.005941,            0.005941,            0.005941
                  43,           0.0061976,           0.0036541,           0.0099065,             0.67422,             0.83215,             0.80272,             0.80258,           0.0015774,           0.0029382,           0.0053507,            0.005842,            0.005842,            0.005842
                  44,           0.0056611,           0.0036281,            0.010746,             0.68645,             0.82972,               0.823,             0.81963,           0.0016844,           0.0029728,           0.0053958,            0.005743,            0.005743,            0.005743
                  45,           0.0056349,           0.0035908,            0.010426,             0.75404,              0.8384,             0.84499,             0.83976,           0.0021102,           0.0022859,           0.0046107,            0.005644,            0.005644,            0.005644
                  46,            0.006241,           0.0037026,           0.0096024,             0.72086,             0.81439,             0.82892,             0.82738,           0.0019769,           0.0055204,           0.0046861,            0.005545,            0.005545,            0.005545
                  47,           0.0054193,           0.0035013,           0.0095199,             0.74814,             0.77767,             0.81771,             0.81106,           0.0020087,           0.0051958,           0.0046694,            0.005446,            0.005446,            0.005446
                  48,           0.0052631,           0.0034384,           0.0096677,             0.74523,             0.80938,             0.84142,              0.8409,           0.0014319,           0.0030297,           0.0046205,            0.005347,            0.005347,            0.005347
                  49,           0.0056504,           0.0034604,           0.0091501,              0.7665,             0.83868,              0.8488,              0.8469,           0.0016893,           0.0036845,           0.0045984,            0.005248,            0.005248,            0.005248
                  50,           0.0056109,           0.0034252,            0.009303,             0.75613,             0.82262,             0.85413,             0.85362,           0.0016238,            0.002668,           0.0049843,            0.005149,            0.005149,            0.005149
                  51,           0.0051514,            0.003486,           0.0098127,             0.75417,             0.81879,             0.85688,             0.85313,           0.0016483,           0.0029595,           0.0044166,             0.00505,             0.00505,             0.00505
                  52,           0.0053121,           0.0033662,           0.0098698,             0.75248,             0.83104,             0.84968,             0.84744,           0.0021156,           0.0054749,           0.0046348,            0.004951,            0.004951,            0.004951
                  53,           0.0052626,            0.003312,           0.0096063,              0.7398,             0.86628,             0.84793,             0.84703,           0.0014074,           0.0030813,           0.0046091,            0.004852,            0.004852,            0.004852
                  54,           0.0050178,           0.0032336,           0.0095109,             0.72811,             0.84774,             0.84701,              0.8468,           0.0016115,           0.0029584,           0.0045677,            0.004753,            0.004753,            0.004753
                  55,           0.0046319,           0.0032718,           0.0091685,             0.77599,             0.82373,             0.84784,             0.84724,           0.0015131,           0.0022452,           0.0045441,            0.004654,            0.004654,            0.004654
                  56,           0.0048395,           0.0032243,           0.0096296,             0.70799,             0.85942,             0.83979,             0.83735,            0.001542,           0.0027697,           0.0049775,            0.004555,            0.004555,            0.004555
                  57,           0.0046943,           0.0032636,           0.0095826,             0.70739,             0.80942,             0.83477,             0.83342,           0.0018231,           0.0037603,           0.0049326,            0.004456,            0.004456,            0.004456
                  58,           0.0043548,           0.0031301,           0.0095307,             0.74073,             0.86562,             0.84934,             0.84865,           0.0014863,           0.0029447,           0.0047979,            0.004357,            0.004357,            0.004357
                  59,           0.0046825,            0.003237,           0.0093702,             0.75687,             0.82109,             0.85214,             0.85196,           0.0013635,           0.0032605,           0.0046224,            0.004258,            0.004258,            0.004258
                  60,           0.0043747,            0.003079,            0.009606,             0.74409,               0.858,             0.85306,             0.85016,           0.0015211,           0.0021852,           0.0047128,            0.004159,            0.004159,            0.004159
                  61,           0.0047801,           0.0030201,            0.010394,             0.78743,             0.78732,             0.84613,             0.84518,           0.0015792,           0.0030124,            0.004737,             0.00406,             0.00406,             0.00406
                  62,           0.0043355,           0.0029993,           0.0094177,              0.7712,             0.82579,             0.85226,             0.84975,             0.00158,           0.0029576,           0.0045617,            0.003961,            0.003961,            0.003961
                  63,           0.0041173,           0.0029769,            0.009767,             0.76027,             0.83003,             0.85756,             0.85697,           0.0012382,           0.0030879,           0.0045136,            0.003862,            0.003862,            0.003862
                  64,           0.0042508,           0.0030198,            0.009214,             0.75609,             0.83769,             0.86237,             0.85942,           0.0014889,           0.0035956,           0.0043461,            0.003763,            0.003763,            0.003763
                  65,           0.0043575,           0.0029701,           0.0090343,             0.69046,             0.87289,             0.85192,             0.85005,           0.0018244,            0.003189,           0.0043557,            0.003664,            0.003664,            0.003664
                  66,           0.0037637,           0.0030559,           0.0088542,             0.77431,             0.85759,             0.87595,             0.87216,           0.0015283,           0.0030591,           0.0042462,            0.003565,            0.003565,            0.003565
                  67,           0.0038852,           0.0029095,           0.0096184,             0.78347,             0.82529,             0.86329,             0.86252,           0.0015483,           0.0021928,           0.0045907,            0.003466,            0.003466,            0.003466
                  68,           0.0040419,           0.0028952,           0.0088564,             0.78631,              0.8187,             0.85657,             0.85637,           0.0014855,           0.0024445,           0.0044627,            0.003367,            0.003367,            0.003367
                  69,           0.0047252,           0.0028623,           0.0095156,             0.69864,             0.86115,             0.85618,             0.85618,           0.0013346,           0.0031603,           0.0042987,            0.003268,            0.003268,            0.003268
                  70,           0.0037879,           0.0027683,           0.0093999,             0.72793,             0.87292,             0.86012,             0.85877,           0.0012005,            0.003337,           0.0044798,            0.003169,            0.003169,            0.003169
                  71,           0.0040216,           0.0027323,           0.0086958,             0.73748,             0.88661,             0.86715,             0.86661,           0.0012234,           0.0023365,           0.0041776,             0.00307,             0.00307,             0.00307
                  72,           0.0039404,           0.0027271,           0.0091042,             0.77784,             0.82187,             0.86383,             0.86346,            0.001199,           0.0021947,            0.004315,            0.002971,            0.002971,            0.002971
                  73,             0.00362,           0.0026759,           0.0085564,             0.73547,             0.82021,             0.82969,             0.82913,           0.0011821,           0.0022341,           0.0048404,            0.002872,            0.002872,            0.002872
                  74,             0.00346,           0.0025999,           0.0085312,             0.79849,             0.80315,             0.85734,             0.85714,           0.0013192,           0.0027353,           0.0044487,            0.002773,            0.002773,            0.002773
                  75,           0.0038805,           0.0026221,            0.008852,             0.74107,              0.8606,             0.86092,             0.86039,           0.0013165,           0.0026929,           0.0043206,            0.002674,            0.002674,            0.002674
                  76,           0.0033381,           0.0025598,           0.0084514,             0.72477,             0.89059,             0.85327,             0.85324,           0.0013604,           0.0037222,           0.0045735,            0.002575,            0.002575,            0.002575
                  77,           0.0030472,           0.0024989,           0.0084931,             0.77175,             0.84318,             0.87023,             0.86985,           0.0012012,           0.0023535,           0.0041418,            0.002476,            0.002476,            0.002476
                  78,           0.0030122,           0.0025454,           0.0087163,             0.76523,             0.81712,             0.84625,             0.84609,           0.0011404,           0.0030641,           0.0044988,            0.002377,            0.002377,            0.002377
                  79,           0.0030927,           0.0024384,           0.0088234,             0.80785,             0.81226,             0.86839,             0.86816,           0.0011592,           0.0031437,           0.0042391,            0.002278,            0.002278,            0.002278
                  80,           0.0033356,           0.0025595,            0.009078,             0.77437,             0.83871,             0.86502,             0.86464,           0.0011502,           0.0023214,           0.0042737,            0.002179,            0.002179,            0.002179
                  81,           0.0033071,           0.0024386,            0.008306,             0.75618,              0.8239,             0.86522,             0.86422,           0.0011623,            0.003219,           0.0043324,             0.00208,             0.00208,             0.00208
                  82,           0.0028912,           0.0024556,           0.0086051,             0.74855,             0.86591,             0.86416,             0.86399,            0.001088,           0.0025571,           0.0043408,            0.001981,            0.001981,            0.001981
                  83,           0.0029813,           0.0024355,            0.008803,             0.73782,             0.88498,              0.8678,             0.86738,           0.0012284,           0.0029969,           0.0042212,            0.001882,            0.001882,            0.001882
                  84,           0.0027666,           0.0023963,           0.0080616,             0.78807,              0.8293,             0.86519,               0.865,           0.0010013,           0.0023008,           0.0042757,            0.001783,            0.001783,            0.001783
                  85,           0.0028461,           0.0023452,           0.0081811,             0.76542,             0.82983,             0.86247,             0.86229,           0.0010739,           0.0029446,           0.0044242,            0.001684,            0.001684,            0.001684
                  86,           0.0028685,            0.002338,           0.0082336,             0.79448,             0.82691,             0.86094,             0.86079,           0.0011177,           0.0034013,           0.0044011,            0.001585,            0.001585,            0.001585
                  87,           0.0028681,           0.0022559,           0.0080359,             0.77362,              0.8278,             0.85118,             0.85115,           0.0011706,           0.0041035,           0.0044087,            0.001486,            0.001486,            0.001486
