               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,           0.0083981,           0.0044674,            0.010368,             0.72514,             0.85443,             0.84593,              0.8424,           0.0023507,           0.0042606,           0.0052007,            0.006634,            0.006634,            0.006634
                  36,           0.0076934,           0.0044387,           0.0096732,             0.70323,             0.85634,             0.83926,             0.83823,           0.0024749,           0.0043785,           0.0048433,            0.006535,            0.006535,            0.006535
                  37,           0.0080176,           0.0042976,            0.010259,             0.75848,             0.83671,             0.84057,             0.83799,           0.0018258,           0.0025699,           0.0045915,            0.006436,            0.006436,            0.006436
                  38,           0.0071599,           0.0042291,            0.010236,             0.74156,             0.82564,             0.83171,             0.82693,           0.0017772,            0.002697,           0.0045796,            0.006337,            0.006337,            0.006337
                  39,           0.0077717,           0.0043088,           0.0092788,             0.69444,             0.86457,             0.84619,             0.84457,            0.002027,           0.0032473,           0.0046786,            0.006238,            0.006238,            0.006238
                  40,           0.0075072,            0.004218,           0.0099913,             0.72707,             0.81516,             0.83988,             0.82606,           0.0021088,           0.0046016,           0.0048895,            0.006139,            0.006139,            0.006139
                  41,           0.0077382,           0.0042215,           0.0098764,             0.72545,              0.8654,             0.86272,             0.85828,           0.0019653,           0.0051129,           0.0045073,             0.00604,             0.00604,             0.00604
                  42,           0.0073971,           0.0041513,            0.010298,             0.74395,             0.82291,             0.84143,             0.83771,           0.0017717,           0.0038797,           0.0045375,            0.005941,            0.005941,            0.005941
                  43,           0.0077278,            0.004163,           0.0096585,             0.79391,             0.80947,             0.84733,             0.84618,           0.0016009,           0.0031224,           0.0047265,            0.005842,            0.005842,            0.005842
                  44,           0.0072619,           0.0040439,            0.010242,             0.76248,             0.83699,              0.8591,             0.85726,           0.0018754,           0.0055402,           0.0044199,            0.005743,            0.005743,            0.005743
                  45,           0.0066423,           0.0041497,           0.0097813,             0.73502,             0.87642,              0.8482,             0.84481,           0.0017136,           0.0026813,           0.0044375,            0.005644,            0.005644,            0.005644
                  46,           0.0074054,           0.0041621,           0.0092814,             0.75085,             0.83504,             0.84449,              0.8402,           0.0017501,           0.0035044,           0.0045029,            0.005545,            0.005545,            0.005545
                  47,           0.0066189,           0.0039263,           0.0089597,             0.74378,             0.85093,             0.84317,              0.8427,           0.0019845,           0.0061091,           0.0046288,            0.005446,            0.005446,            0.005446
                  48,           0.0067171,           0.0039029,           0.0089298,             0.72942,             0.82959,             0.84284,             0.84143,           0.0016934,           0.0033282,           0.0047863,            0.005347,            0.005347,            0.005347
                  49,           0.0067411,           0.0038675,           0.0085292,             0.74288,             0.85029,             0.85817,              0.8556,           0.0015347,           0.0030476,           0.0047563,            0.005248,            0.005248,            0.005248
                  50,           0.0064657,           0.0039392,           0.0085027,             0.77023,             0.84242,             0.85099,             0.85022,           0.0016591,            0.002954,           0.0046504,            0.005149,            0.005149,            0.005149
                  51,           0.0060781,           0.0038532,           0.0089068,             0.75681,              0.8572,             0.85309,             0.85209,           0.0014974,           0.0027698,           0.0045041,             0.00505,             0.00505,             0.00505
                  52,           0.0062702,           0.0038864,           0.0089177,             0.74931,             0.81723,             0.83864,             0.83797,           0.0013994,           0.0032079,           0.0047794,            0.004951,            0.004951,            0.004951
                  53,           0.0062725,           0.0036517,            0.008771,             0.81575,             0.79938,             0.86443,             0.86351,            0.001525,           0.0028342,           0.0043296,            0.004852,            0.004852,            0.004852
                  54,           0.0060381,           0.0036327,           0.0085706,              0.7365,              0.8808,             0.85487,             0.85472,           0.0015773,           0.0033791,           0.0043877,            0.004753,            0.004753,            0.004753
                  55,           0.0055968,            0.003629,           0.0078488,             0.76915,             0.85044,             0.85618,             0.85552,           0.0014717,           0.0026952,           0.0043578,            0.004654,            0.004654,            0.004654
                  56,           0.0060332,           0.0035661,           0.0082259,             0.72442,               0.879,             0.84063,             0.83873,           0.0014112,           0.0043015,           0.0047081,            0.004555,            0.004555,            0.004555
                  57,            0.005742,           0.0036317,           0.0085119,             0.74892,             0.83764,             0.84797,             0.84762,           0.0013529,           0.0034651,           0.0045566,            0.004456,            0.004456,            0.004456
                  58,            0.005492,           0.0035341,            0.008531,             0.77308,             0.84054,             0.85446,             0.85277,           0.0013605,           0.0045169,           0.0048638,            0.004357,            0.004357,            0.004357
                  59,            0.005737,           0.0036656,           0.0081526,             0.76218,              0.8541,             0.85088,             0.85035,             0.00163,           0.0042637,           0.0047853,            0.004258,            0.004258,            0.004258
                  60,           0.0053305,           0.0034789,           0.0086861,             0.79191,             0.78222,             0.84485,             0.84473,           0.0014749,            0.003548,           0.0048838,            0.004159,            0.004159,            0.004159
                  61,           0.0057632,           0.0033996,           0.0091335,             0.76551,             0.79111,             0.83631,             0.83619,           0.0011947,           0.0027391,           0.0048888,             0.00406,             0.00406,             0.00406
                  62,           0.0053882,           0.0034229,           0.0083952,             0.75476,             0.84217,              0.8527,              0.8516,           0.0013524,           0.0042091,           0.0048888,            0.003961,            0.003961,            0.003961
                  63,           0.0050771,           0.0034492,           0.0088137,             0.78262,             0.81756,             0.84809,             0.84774,           0.0012826,           0.0027339,           0.0047308,            0.003862,            0.003862,            0.003862
                  64,             0.00543,           0.0034539,           0.0078635,             0.75589,             0.82356,             0.84289,             0.84278,           0.0012009,           0.0033128,           0.0046886,            0.003763,            0.003763,            0.003763
